,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
35,Linear SVM (squared loss),moral_foundation,0.799671592775041,0.273072989487857,0.28825966263215,0.799671592775041,0.264857142857143,0.799671592775041,test,subtaskaenglish,0.888,0,0,0.171428571428571
36,Linear SVM (squared loss),moral_foundation,0.289473684210526,0.377777777777778,0.182608695652174,0.289473684210526,0.244949494949495,0.289473684210526,dev,subtaskbenglish,0,0.484848484848485,0.25,
37,Linear SVM (squared loss),moral_foundation,0.283950617283951,0.335215053763441,0.511278195488722,0.283950617283951,0.236199279801017,0.283950617283951,test,subtaskbenglish,0.048780487804878,0.493150684931507,0.166666666666667,
38,Logistic Regression,moral_foundation,0.78989898989899,0.277417359831316,0.29041580400276,0.78989898989899,0.267633768666997,0.78989898989899,dev,subtaskaenglish,0.88212927756654,0,0,0.188405797101449
39,Logistic Regression,moral_foundation,0.798029556650246,0.269718899418294,0.280021668472373,0.798029556650246,0.260055426449572,0.798029556650246,test,subtaskaenglish,0.8871116579514,0,0,0.15311004784689
40,Logistic Regression,moral_foundation,0.289473684210526,0.377777777777778,0.182608695652174,0.289473684210526,0.244949494949495,0.289473684210526,dev,subtaskbenglish,0,0.484848484848485,0.25,
41,Logistic Regression,moral_foundation,0.271604938271605,0.324462365591398,0.505732749635189,0.271604938271605,0.228089338716516,0.271604938271605,test,subtaskbenglish,0.048780487804878,0.472222222222222,0.163265306122449,
42,Decision Tree,moral_foundation,0.767003367003367,0.286492937151317,0.295483268522309,0.767003367003367,0.27492870172822,0.767003367003367,dev,subtaskaenglish,0.868451688009313,0.02247191011236,0,0.208791208791209
43,Decision Tree,moral_foundation,0.774493705528188,0.270973581551102,0.256658752306792,0.774493705528188,0.26082691255105,0.774493705528188,test,subtaskaenglish,0.874725274725275,0,0,0.168582375478927
44,Decision Tree,moral_foundation,0.31578947368421,0.347953216374269,0.341628959276018,0.31578947368421,0.313131313131313,0.31578947368421,dev,subtaskbenglish,0.296296296296296,0.37037037037037,0.272727272727273,
45,Decision Tree,moral_foundation,0.234567901234568,0.292204301075269,0.20184422623447,0.234567901234568,0.205829530668719,0.234567901234568,test,subtaskbenglish,0.042553191489362,0.388888888888889,0.186046511627907,
46,Random Forest Classifier,moral_foundation,0.788552188552189,0.274754694426458,0.283298826777088,0.788552188552189,0.263820466192759,0.788552188552189,dev,subtaskaenglish,0.881368821292776,0,0,0.173913043478261
47,Random Forest Classifier,moral_foundation,0.798576902025178,0.26988827611206,0.28155637254902,0.798576902025178,0.260325007096225,0.798576902025178,test,subtaskaenglish,0.887453874538745,0,0,0.153846153846154
48,Random Forest Classifier,moral_foundation,0.289473684210526,0.35458089668616,0.322742474916388,0.289473684210526,0.243867243867244,0.289473684210526,dev,subtaskbenglish,0.095238095238095,0.545454545454545,0.090909090909091,
49,Random Forest Classifier,moral_foundation,0.320987654320988,0.312634408602151,0.297931376192246,0.320987654320988,0.269963788831713,0.320987654320988,test,subtaskbenglish,0.188679245283019,0.5,0.121212121212121,
50,Linear SVM,complexity,0.794612794612795,0.249788314987299,0.198787061994609,0.794612794612795,0.221388367729831,0.794612794612795,dev,subtaskaenglish,0.885553470919324,0,0,0
51,Linear SVM,complexity,0.806787082649152,0.249661246612466,0.201917808219178,0.806787082649152,0.223265677067555,0.806787082649152,test,subtaskaenglish,0.893062708270221,0,0,0
52,Linear SVM,complexity,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
53,Linear SVM,complexity,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
54,RBF SVM,complexity,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
55,RBF SVM,complexity,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
56,RBF SVM,complexity,0.368421052631579,0.379337231968811,0.432194616977226,0.368421052631579,0.352693602693603,0.368421052631579,dev,subtaskbenglish,0.444444444444444,0.363636363636364,0.25,
57,RBF SVM,complexity,0.395061728395062,0.422311827956989,0.389219576719577,0.395061728395062,0.376119897444761,0.395061728395062,test,subtaskbenglish,0.178571428571429,0.528735632183908,0.421052631578947,
58,Linear SVM (squared loss),complexity,0.791245791245791,0.248729889923793,0.198613928329953,0.791245791245791,0.220864661654135,0.791245791245791,dev,subtaskaenglish,0.883458646616541,0,0,0
59,Linear SVM (squared loss),complexity,0.804597701149425,0.248983739837398,0.201812191103789,0.804597701149425,0.222929936305732,0.804597701149425,test,subtaskaenglish,0.89171974522293,0,0,0
60,Linear SVM (squared loss),complexity,0.342105263157895,0.310721247563353,0.347953216374269,0.342105263157895,0.299890530925014,0.342105263157895,dev,subtaskbenglish,0.457142857142857,0.275862068965517,0.166666666666667,
61,Linear SVM (squared loss),complexity,0.345679012345679,0.289784946236559,0.288782562466773,0.345679012345679,0.286791079346172,0.345679012345679,test,subtaskbenglish,0.383561643835616,0.376811594202899,0.1,
62,Logistic Regression,complexity,0.792592592592593,0.249153259949196,0.198683322079676,0.792592592592593,0.221074380165289,0.792592592592593,dev,subtaskaenglish,0.884297520661157,0,0,0
63,Logistic Regression,complexity,0.807881773399015,0.251422979994131,0.285498903508772,0.807881773399015,0.226609848484848,0.807881773399015,test,subtaskaenglish,0.893939393939394,0,0,0.0125
64,Logistic Regression,complexity,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
65,Logistic Regression,complexity,0.37037037037037,0.345161290322581,0.193859649122807,0.37037037037037,0.225129802699896,0.37037037037037,test,subtaskbenglish,0,0.542056074766355,0.133333333333333,
66,Decision Tree,complexity,0.792592592592593,0.249153259949196,0.198683322079676,0.792592592592593,0.221074380165289,0.792592592592593,dev,subtaskaenglish,0.884297520661157,0,0,0
67,Decision Tree,complexity,0.807334428024083,0.249830623306233,0.202165570175439,0.807334428024083,0.223484848484848,0.807334428024083,test,subtaskaenglish,0.893939393939394,0,0,0
