,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
31,RBF SVM,moral_foundation,0.3333333333333333,0.3354838709677419,0.1706349206349206,0.3333333333333333,0.22616093583835517,0.3333333333333333,test,subtaskbenglish,0.0,0.5494505494505494,0.12903225806451613,
32,Linear SVM (squared loss),moral_foundation,0.7905723905723906,0.2776290448440172,0.295622694287915,0.7905723905723906,0.26834882889325945,0.7905723905723906,dev,subtaskaenglish,0.8822188449848025,0.0,0.0,0.19117647058823528
33,Linear SVM (squared loss),moral_foundation,0.7996715927750411,0.2730729894878567,0.2882596626321499,0.7996715927750411,0.26485714285714285,0.7996715927750411,test,subtaskaenglish,0.888,0.0,0.0,0.17142857142857143
34,Linear SVM (squared loss),moral_foundation,0.2894736842105263,0.37777777777777777,0.18260869565217389,0.2894736842105263,0.24494949494949494,0.2894736842105263,dev,subtaskbenglish,0.0,0.48484848484848486,0.25,
35,Linear SVM (squared loss),moral_foundation,0.2839506172839506,0.3352150537634409,0.5112781954887219,0.2839506172839506,0.23619927980101718,0.2839506172839506,test,subtaskbenglish,0.04878048780487806,0.4931506849315069,0.16666666666666666,
36,Logistic Regression,moral_foundation,0.7898989898989899,0.2774173598313161,0.2904158040027605,0.7898989898989899,0.2676337686669973,0.7898989898989899,dev,subtaskaenglish,0.8821292775665398,0.0,0.0,0.18840579710144925
37,Logistic Regression,moral_foundation,0.7980295566502463,0.2697188994182936,0.2800216684723727,0.7980295566502463,0.26005542644957236,0.7980295566502463,test,subtaskaenglish,0.8871116579513996,0.0,0.0,0.15311004784688997
38,Logistic Regression,moral_foundation,0.2894736842105263,0.37777777777777777,0.18260869565217389,0.2894736842105263,0.24494949494949494,0.2894736842105263,dev,subtaskbenglish,0.0,0.48484848484848486,0.25,
39,Logistic Regression,moral_foundation,0.2716049382716049,0.32446236559139785,0.5057327496351887,0.2716049382716049,0.22808933871651646,0.2716049382716049,test,subtaskbenglish,0.04878048780487806,0.4722222222222222,0.163265306122449,
40,Decision Tree,moral_foundation,0.767003367003367,0.286492937151317,0.29548326852230866,0.767003367003367,0.27492870172822037,0.767003367003367,dev,subtaskaenglish,0.8684516880093132,0.02247191011235955,0.0,0.2087912087912088
41,Decision Tree,moral_foundation,0.7744937055281883,0.2709735815511021,0.2566587523067921,0.7744937055281883,0.2608269125510505,0.7744937055281883,test,subtaskaenglish,0.8747252747252747,0.0,0.0,0.16858237547892718
42,Decision Tree,moral_foundation,0.3157894736842105,0.34795321637426896,0.34162895927601816,0.3157894736842105,0.31313131313131315,0.3157894736842105,dev,subtaskbenglish,0.2962962962962963,0.37037037037037035,0.27272727272727276,
43,Decision Tree,moral_foundation,0.2345679012345679,0.29220430107526885,0.20184422623447015,0.2345679012345679,0.2058295306687192,0.2345679012345679,test,subtaskbenglish,0.0425531914893617,0.3888888888888889,0.186046511627907,
44,Random Forest Classifier,moral_foundation,0.7885521885521886,0.2747546944264581,0.2832988267770876,0.7885521885521886,0.2638204661927592,0.7885521885521887,dev,subtaskaenglish,0.8813688212927757,0.0,0.0,0.1739130434782609
45,Random Forest Classifier,moral_foundation,0.7985769020251778,0.2698882761120605,0.2815563725490196,0.7985769020251778,0.2603250070962248,0.7985769020251778,test,subtaskaenglish,0.8874538745387454,0.0,0.0,0.15384615384615388
46,Random Forest Classifier,moral_foundation,0.2894736842105263,0.3545808966861599,0.3227424749163879,0.2894736842105263,0.24386724386724387,0.2894736842105263,dev,subtaskbenglish,0.09523809523809525,0.5454545454545454,0.09090909090909093,
47,Random Forest Classifier,moral_foundation,0.32098765432098764,0.3126344086021506,0.29793137619224574,0.32098765432098764,0.26996378883171335,0.32098765432098764,test,subtaskbenglish,0.18867924528301888,0.5,0.12121212121212122,
48,Linear SVM,linked_feat,0.7952861952861953,0.25,0.19882154882154882,0.7952861952861953,0.22149287321830458,0.7952861952861953,dev,subtaskaenglish,0.8859714928732183,0.0,0.0,0.0
49,Linear SVM,linked_feat,0.8078817733990148,0.25,0.2019704433497537,0.8078817733990148,0.223433242506812,0.8078817733990148,test,subtaskaenglish,0.893732970027248,0.0,0.0,0.0
50,Linear SVM,linked_feat,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.2631578947368421,0.1388888888888889,0.2631578947368421,dev,subtaskbenglish,0.0,0.4166666666666667,0.0,
51,Linear SVM,linked_feat,0.38271604938271603,0.3333333333333333,0.12757201646090535,0.38271604938271603,0.18452380952380953,0.38271604938271603,test,subtaskbenglish,0.0,0.5535714285714286,0.0,
52,RBF SVM,linked_feat,0.7818181818181819,0.2569627766432568,0.23908461640857256,0.7818181818181819,0.2381518311908804,0.7818181818181819,dev,subtaskaenglish,0.8774193548387096,0.0,0.0,0.07518796992481203
53,RBF SVM,linked_feat,0.8029556650246306,0.2627054096974091,0.28345696529923126,0.8029556650246306,0.24924244394735473,0.8029556650246306,test,subtaskaenglish,0.8905867970660146,0.0,0.0,0.10638297872340426
54,RBF SVM,linked_feat,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.2631578947368421,0.1388888888888889,0.2631578947368421,dev,subtaskbenglish,0.0,0.4166666666666667,0.0,
55,RBF SVM,linked_feat,0.38271604938271603,0.3333333333333333,0.12757201646090535,0.38271604938271603,0.18452380952380953,0.38271604938271603,test,subtaskbenglish,0.0,0.5535714285714286,0.0,
56,Linear SVM (squared loss),linked_feat,0.7744107744107744,0.2546342415035447,0.22813335313335315,0.7744107744107744,0.2355394647696477,0.7744107744107744,dev,subtaskaenglish,0.8727134146341464,0.0,0.0,0.06944444444444445
57,Linear SVM (squared loss),linked_feat,0.7985769020251778,0.26135039614727357,0.2638031573484828,0.7985769020251778,0.2473555295443707,0.7985769020251778,test,subtaskaenglish,0.8884120171673818,0.0,0.0,0.10101010101010102
58,Linear SVM (squared loss),linked_feat,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.2631578947368421,0.1388888888888889,0.2631578947368421,dev,subtaskbenglish,0.0,0.4166666666666667,0.0,
59,Linear SVM (squared loss),linked_feat,0.38271604938271603,0.3333333333333333,0.12757201646090535,0.38271604938271603,0.18452380952380953,0.38271604938271603,test,subtaskbenglish,0.0,0.5535714285714286,0.0,
60,Logistic Regression,linked_feat,0.7744107744107744,0.2546342415035447,0.22813335313335315,0.7744107744107744,0.2355394647696477,0.7744107744107744,dev,subtaskaenglish,0.8727134146341464,0.0,0.0,0.06944444444444445
61,Logistic Regression,linked_feat,0.7985769020251778,0.26135039614727357,0.2638031573484828,0.7985769020251778,0.2473555295443707,0.7985769020251778,test,subtaskaenglish,0.8884120171673818,0.0,0.0,0.10101010101010102
62,Logistic Regression,linked_feat,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.2631578947368421,0.1388888888888889,0.2631578947368421,dev,subtaskbenglish,0.0,0.4166666666666667,0.0,
63,Logistic Regression,linked_feat,0.38271604938271603,0.3333333333333333,0.12757201646090535,0.38271604938271603,0.18452380952380953,0.38271604938271603,test,subtaskbenglish,0.0,0.5535714285714286,0.0,
